Purple Coordinates;Orange Coordinates
(1180, 48);(866, 601)
(1180, 48);(866, 600)
(1180, 48);(868, 599)
(1180, 55);(868, 599)
(1180, 55);(869, 599)
(1184, 56);(869, 598)
(1186, 58);(869, 598)
(1186, 58);(869, 598)
(1188, 57);(869, 597)
(1188, 57);(869, 597)
(1188, 57);(865, 597)
(1188, 50);(865, 596)
(1192, 53);(863, 596)
(1188, 55);(863, 596)
(1188, 55);(862, 596)
(1190, 53);(861, 596)
(1190, 53);(859, 596)
(1190, 53);(861, 598)
(1190, 54);(861, 598)
(1190, 54);(861, 597)
(1191, 53);(860, 597)
(1192, 54);(860, 597)
(1194, 52);(860, 597)
(1194, 52);(860, 597)
(1194, 51);(860, 597)
(1194, 49);(861, 597)
(1190, 49);(861, 597)
(1190, 49);(860, 597)
(1190, 44);(860, 597)
(1190, 44);(860, 598)
(1190, 44);(860, 598)
(1193, 41);(869, 600)
(1190, 44);(869, 600)
(1190, 44);(869, 600)
(1188, 41);(869, 597)
(1188, 41);(865, 597)
(1189, 42);(865, 597)
(1188, 40);(869, 599)
(1188, 39);(869, 601)
(1188, 39);(868, 602)
(1185, 36);(868, 602)
(1184, 35);(867, 602)
(1184, 35);(867, 603)
(1186, 39);(867, 602)
(1188, 34);(868, 602)
(1190, 34);(870, 602)
(1190, 36);(870, 602)
(1190, 36);(874, 601)
(1190, 36);(874, 600)
(1190, 36);(871, 600)
(1189, 36);(872, 600)
(1188, 42);(871, 600)
(1188, 36);(871, 597)
(1189, 36);(871, 599)
(1190, 36);(871, 599)
(1190, 43);(870, 598)
(1190, 43);(875, 595)
(1190, 43);(875, 595)
(1190, 45);(867, 600)
(1189, 42);(865, 603)
(1192, 42);(864, 603)
(1192, 42);(864, 604)
(1187, 49);(864, 607)
(1190, 46);(864, 607)
(1186, 51);(864, 607)
(1190, 51);(864, 607)
(1190, 51);(863, 607)
(1193, 49);(863, 607)
(1193, 49);(863, 607)
(1190, 46);(867, 607)
(1186, 54);(869, 607)
(1189, 55);(871, 607)
(1189, 55);(871, 607)
(1190, 55);(871, 606)
(1190, 52);(872, 606)
(1190, 52);(871, 606)
(1184, 55);(871, 606)
(1186, 57);(872, 606)
(1180, 56);(872, 607)
(1179, 67);(873, 606)
(1179, 68);(873, 606)
(1178, 68);(873, 608)
(1178, 67);(873, 608)
(1181, 63);(877, 605)
(1178, 65);(872, 610)
(1178, 64);(872, 610)
(1178, 63);(872, 610)
(1179, 62);(881, 606)
(1180, 61);(881, 606)
(1184, 54);(881, 605)
(1182, 55);(881, 604)
(1182, 55);(881, 604)
(1187, 52);(878, 603)
(1182, 54);(878, 603)
(1182, 53);(877, 602)
(1182, 53);(877, 602)
(1182, 53);(871, 606)
(1182, 53);(877, 602)
(1182, 52);(871, 606)
(1184, 52);(872, 606)
(1183, 43);(870, 606)
(1184, 50);(870, 606)
(1186, 48);(870, 606)
(1186, 48);(869, 606)
(1184, 47);(869, 606)
(1184, 47);(869, 606)
(1184, 47);(869, 606)
(1186, 42);(869, 606)
(1186, 41);(869, 606)
(1186, 49);(871, 606)
(1186, 48);(871, 606)
(1186, 49);(871, 606)
(1186, 49);(869, 604)
(1186, 48);(868, 604)
(1186, 47);(867, 604)
(1186, 47);(868, 604)
(1188, 47);(868, 605)
(1190, 48);(869, 606)
(1191, 48);(871, 606)
(1192, 47);(872, 606)
(1192, 45);(876, 605)
(1192, 44);(872, 602)
(1192, 44);(872, 602)
(1190, 43);(877, 605)
(1190, 38);(874, 606)
(1190, 32);(876, 606)
(1190, 39);(878, 606)
(1190, 36);(882, 602)
(1190, 36);(883, 603)
(1187, 28);(886, 603)
(1188, 34);(879, 607)
(1188, 33);(880, 607)
(1188, 33);(886, 601)
(1188, 38);(886, 601)
(1193, 36);(890, 601)
(1193, 36);(890, 601)
(1190, 32);(890, 601)
(1188, 37);(888, 601)
(1188, 38);(887, 601)
(1188, 38);(882, 604)
(1188, 32);(878, 604)
(1190, 39);(876, 605)
(1188, 41);(876, 606)
(1188, 43);(876, 608)
(1190, 43);(877, 608)
(1188, 43);(877, 608)
(1190, 43);(877, 608)
(1190, 43);(877, 602)
(1188, 36);(882, 598)
(1188, 41);(876, 602)
(1188, 41);(876, 602)
(1188, 39);(878, 601)
(1193, 35);(878, 603)
(1193, 35);(878, 603)
(1193, 35);(875, 607)
(1188, 41);(884, 603)
